tx_id,r,s,z
a40b96cfab7cf9683ed15d724b3b9b3bc34e2f31f77b51b4a449739bfa9b2acc,675d3666b205746666713740936c32d477f004159c1cb81cd1c46ced18352bd8,5184c9bb57e47039b1406944cc8b8990a967e2656d286356c5c384f8525eb67a,bbfb3aa59f43c0400b538697a5805a521089ecdc16cf87bb5d9bdb964674a62f
17c3462e5748270742bcbf18e46ab4bab9dadabb4a511501cf0139a83e2b03b7,59f2bb50d3df43b250ccba3c92133952af80f5d832aa3acea9b5b6d3b296c620,3dcc8feecaaba226703581da9cd3d211153d1675169609b456349c8aef338bf,f9276876b0bb8ea97648e575214ea2ae75906a63a644937662e24d6ee63bee89
b5d167fa54713705845681da638de83c9b450e2592947d9e45ddbf8a2970d73d,26ec3dd226c076b8aaa7a36549316595975b37e445d23ef2d30ffbe9e57f3aa8,64c381a8e44d477b83aeb5d431b17e50181727b2eb6c218b3159950f1d8eb54a,7b6546e3ff2b61d25777ca4de28c8b82d27c95efef1189e448a82ad08112a9ce
780624ecc600d829d44f29b4fa7a44b570556775b16827593bae237f31773951,2654d0e1e82d0eafd7608154e61b2a0b8d3fd95e7a255805afdda1c35cddc2b8,14a882cff38160091b73123746459910968fc5b521c1505cd170b2a5be17179b,30efaed358217304baea5ff4df85023847daa846fba8adafe2f4b01ef2a05cd5
e852674ac13b0ceb90686b11d0e7b966f6d8e2ae439996eca59bf25869174767,48c4db51371ad704994418d5c2985cec1bac5767110c2d58f887ded845e235f0,746c61f17144e1297bc7ad9a551c576470ddd8d47ff3eb966e2e2c230d882eaf,1512ad1e80276e516cfeda4d8ae283e89ae0dfa2adf82181eab9e94eae6ce8de
1f31c54ea4f02206e043bc082e89437f7e813f7ae033cc766be0a2a9ef71fe9c,444227795e5a12718375ce9556a771ed3f5ed4780d1a5dd91e38ddaccd75e930,5ba889ea0df43751f92bd8ed455b2763ae49dd5320e848b3cefdf60f1141fc69,012655b210e812565b475a181fe5bdfc1c3aad6d47a2c7f0eb0c48d6413ea28c
02840e62e42cbcbe757827f2d5f91d26d3fd405f99e2c7e904807d201c9d6f99,530ede0e51fb142fd6fcd9c169f40a6d65c0ce1063c5a92966ebd58464d9a590,5d26921a426b078b0b85645e11d09577fa63edaea694138e6d0634fec010bceb,e699bc3afe332dc8c1eb86c19447fc148d0baaa781d61d799603311d77568fcd
0577f0ad362a1827f0533f1d19fb4550fabeb98469a96e01e14154a8861ea3ce,746b95c67bc17ae75db4ce46ddbe3e8f311548c1efeab08c32c95f81a2223738,6deef01a6a988ae022c758c2535babd00094f3c933389b2bbfb63a3755da2208,545403731f07872cbda348311078a511ccec35a50ff37a4903246055b98a8035
940e61e77a50f0ecf1bd49d15749cc08c11976d1da8d36c4fe961285fba1e61a,74fed6fdf1046a88dd63b19286bc6a52d024c5dfdca93d3c4a11d0d58ff71100,32725203d834f76dd91126c2b3ed82ae0b5ccea103ec0bf73c4832f9f809d458,fc3c5840210306f3776e55ca0e12c58cab00c4b1263b01e2736d4df0bb8d0d8e
35f3edf78e712e4c00917ebe1c69de186305fd430a7523344ca0ca7d3e148870,2649be27ecc45acac7b6fd56a9a1ccd0ffed0fdfb90f533929d633462423c028,504cd7579ad0920bcd17310b1d4eb51396a0dcd75cc86173f7d5a4e96da1d2c5,d5edc702b3f11790a8b0c465a4616ba00b1289eac366965fe5853f8f99e88be3
715671447ea6127388eebfe039b865cdc206c1b29ecc595c59d7a66093aeb72c,7e77425b466ef3ced68db042b77888770b16d316da92ef31e3e402a9caf47778,315f535a42968cf6539a5449ead59bcb91ae4538b332977a8b864eb0f4e1ac42,09ce373bcfde94fe849dd14670f247b758f34188f56d96055b546355a9139f64
ffa7047aa42f0652a67c4c25f647cb66d32cacd0eb805fd4fbea58be05cddd56,7419a6d0cb2c5ab053c6b7e1d6d0a78f43eea70942a6387e947263d87b76cc68,6887c4b6abe0c77c99b01ca99703aaf9f9b4d21f5292def93eb98346357abe2e,1d66388b378a874ad065f47de09f92696a822e8e5b4ac50d90358aa9ee682fa7
74494e8ca4d83079b015d79a015df81ab8e3b2d951512b92034f2ddbd6b80aff,5e904bfdd81916294b74d7ee221c6932b8dcff9c0f8c5dcc17e96b1f9591af90,12b50e978133236917d5915f26a9fcb6b11806a72147b37fac6a542661b05870,cce097565bdb966ab54b5451d46c32f4c7da54b52b16ea6188454945bce0aaab
a542f1a39f2588d6702de6b9ea84ac5f38d3cfd80087e4fea14b152ebb228902,36861b1e3baf4c0c6688258df9d93ad339e59ac7e343baa7ff225ec2b7436260,56f597d4e53f0239c31c1f24bed0b74c6e513564cde0679bb2f3e93c2b5c363e,0cf0f7189b9228e5eb1969203d97e88663247e12bcfbffae1b0ae22f68ea9c13
ee56c5aa3febebcfa7e65aef214eff44a8237330d8cce6723c24884b07ccc012,1b286fa9eedcb73c22c1e87530051789068bcd8bdbfd0f1d5f020cf63680d760,2f9104e29a048790a0868e96ed6511d1fa534fa1ff546ce2fe69ce11a8295c42,fbc70d19c1f7decf9fd510ed9d6c3700c4773949814db3a58574c1be93caca7b
