tx_id,r,s,z
22348331aef2ea057c8b5477658c9b94ffb235600103bfac86f1b73b3c2ccc97,20779793435135863066647425664434427202166333224253516236114052149751625519794,47063956514463807857729702462861861835958458047684205852440012750661462924474,1eaa2af6c72674de7c316958c7944c5399adc4524330494ec1b143a7d5a8589e
42e137ce21683de7123270972210232ffabfe0c183cb70ec490288f3ee8dc9b3,9792778277805720808852154065952997776682250650507007624054484337884480683548,14198215380136615501833607570435474795392923338088919522017336242845768073225,f8ca08c7c3681ff649f425fbb9996cd3f7f21202025535f0a111b699fef8c77c
c33aa95bfb8ab25c8f9d4b521460377b7144cc52821015c2d2fe7581342e00b9,15046676852451015393914798602440801221233829891322681097235177307846350062681,17305680245160966406140005644564373934753811489091452553342845444426556855484,467043853ec6adf604d8449d47008ed00af17ba5d03469cfb568c6fc35895c4d
4c8c2c445eca8d4a145cf52029f7b725c4020ea16a179753f0d18a1340c9d74d,9495280946804685048375358129611800422755698732308310781149113076811038419844,21037772039481332000028190292652485341106411565001778836768863255219243544722,210adf930f8a23be88bcbbc57fdb546f91835bfa5ff9cc88b66ed511ae3d8873
361695b0cfc57c2ded9c8186fcfbda5cafff73d2d6249e76bff17c1e0a3400da,16153450182902644449164211884175318920249398516535979702136459494833584727179,35197634581995621053889143529389761242329996708879263113876094507122838144237,5240f1d67ed29c0e183012b13ca876be4a70c93120e970b5b60b5ef590ceabd6
8c2cef37604860752317a2329245f22e9497894807a43b9d55a265b24c5dda45,52068154576395701554581784734087466232391799990036486819777849266686461831663,44849955299059653793877307598604698094664403071839181551384845901320134845784,a100be5734463790c49ed2f5503e6585fccdd1e748b611b896ee54a23b656d20
8ad0cf1b7cc511f2fa42254ed9f971ec5c1c650485e532f3ba39018736ca194c,46025336676017312540771226298252012000284097723707169953256170811287270993199,52440925763563569756172839885544134176550666700091722950889170875310981318951,5d705980cdfbe5034ef758a03d0f174d91d053b4d0535f05a2ecfe4920205ace
3ba391490efe471e2532f4deb478dd8775a48ec2448cf6a64755cce1beb782f4,23415018489183997970952293100130389721099623702697929853028436448877485383755,57678156241452192515447800124577232275837409111333631400510969132173156352589,954e7fd8d7f15704593b863b8670699d5e2462244daf140371af602299fe6757
a1603bc69b2b6b09a0faca19674cacdd2240857c047264bb625cb255966e692c,3782801362709746067064247202300606422553269462894197956133398896706831106359,1797008266860159991223520222154886295522580280934188497240704738646956773984,8b743d8b63566a86923b257e024a7621285ae379802ac1b185f29c770ecac9c6
4424df16d2a3997b4c652fb427fff0d0a37020ce49247b3370ff1dbd0da9e814,14631073965667289155412646876790083525131695284681517414203404239413394758889,43458832950700837733652281242650671296092284727075439795624119697535918324252,81c4e807ae91a286596ff3f02eecccb8cbd103ca62bee9b0f95b18bec6cc749b
d1fa9404fb342a2b168c0040063e605220a61e422a095c2f94e0bfeff69cdfd8,56857420948341937525714710533707390516943419590872450639952155824656196504104,45468472037350276695989303221018920588868633763470201753263340406809113039626,2669a13858c023df0efec37d48d988849be71d30dc62f3272c97fb5736d0b47e
89324aa699d693c76b5264bd453988bd7de01ff100098461fe66c586d8be0544,7475213467663149001557054134708898454640147214806932975382479730796557034826,37174308458559074651358211916027237675223665543143779536523696500101007580166,bb76f17c041059e48c9274bb2f87b6cc2fa25fed4b3b0d97565a2f33db7c642d
